word,best_rank,category_hint,priority,note
"your","24","common","P1","Recommended for general learning coverage"
"have","26","common","P1","Recommended for general learning coverage"
"about","36","common","P1","Recommended for general learning coverage"
"has","40","common","P1","Recommended for general learning coverage"
"but","43","common","P1","Recommended for general learning coverage"
"our","44","common","P1","Recommended for general learning coverage"
"time","50","common","P1","Recommended for general learning coverage"
"which","57","common","P1","Recommended for general learning coverage"
"their","58","common","P1","Recommended for general learning coverage"
"news","59","common","P1","Recommended for general learning coverage"
"out","60","common","P1","Recommended for general learning coverage"
"use","61","common","P1","Recommended for general learning coverage"
"any","62","common","P1","Recommended for general learning coverage"
"his","67","common","P1","Recommended for general learning coverage"
"contact","69","common","P1","Recommended for general learning coverage"
"business","71","common","P1","Recommended for general learning coverage"
"view","79","common","P1","Recommended for general learning coverage"
"been","85","common","P1","Recommended for general learning coverage"
"would","86","common","P1","Recommended for general learning coverage"
"were","88","common","P1","Recommended for general learning coverage"
"services","91","common","P1","Recommended for general learning coverage"
"these","93","common","P1","Recommended for general learning coverage"
"its","95","common","P1","Recommended for general learning coverage"
"like","96","common","P1","Recommended for general learning coverage"
"service","97","common","P1","Recommended for general learning coverage"
"than","99","common","P1","Recommended for general learning coverage"
"price","101","common","P1","Recommended for general learning coverage"
"date","102","common","P1","Recommended for general learning coverage"
"top","104","common","P1","Recommended for general learning coverage"
"people","105","common","P1","Recommended for general learning coverage"
"had","106","common","P1","Recommended for general learning coverage"
"list","107","common","P1","Recommended for general learning coverage"
"just","109","common","P1","Recommended for general learning coverage"
"over","110","common","P1","Recommended for general learning coverage"
"state","111","common","P1","Recommended for general learning coverage"
"into","114","common","P1","Recommended for general learning coverage"
"email","115","common","P1","Recommended for general learning coverage"
"world","119","common","P1","Recommended for general learning coverage"
"used","122","common","P1","Recommended for general learning coverage"
"work","125","common","P1","Recommended for general learning coverage"
"most","127","common","P1","Recommended for general learning coverage"
"products","128","common","P1","Recommended for general learning coverage"
"buy","130","common","P1","Recommended for general learning coverage"
"data","131","common","P1","Recommended for general learning coverage"
"them","133","common","P1","Recommended for general learning coverage"
"should","134","common","P1","Recommended for general learning coverage"
"product","135","common","P1","Recommended for general learning coverage"
"system","136","common","P1","Recommended for general learning coverage"
"post","137","common","P1","Recommended for general learning coverage"
"her","138","common","P1","Recommended for general learning coverage"
"policy","142","common","P1","Recommended for general learning coverage"
"such","144","common","P1","Recommended for general learning coverage"
"available","146","common","P1","Recommended for general learning coverage"
"copyright","147","common","P1","Recommended for general learning coverage"
