id,lemma_key,word,standardized,chinese,phonetic,phrase,phrase_translation,difficulty,category,status,created_at,updated_at
"15921","a balanced diet","A Balanced Diet","A Balanced Diet","均衡饮食","/ə ˈbælənst ˈdaɪət/","eat every food item","吃遍所有食物","master","advancement_husbandry","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15917","a complete catalogue","A Complete Catalogue","A Complete Catalogue","百猫全书","/ə kəmˈplit ˈkætəˌlɔɡ/","tame all cat variants","驯服所有猫的变种","expert","advancement_husbandry","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15856","a furious cocktail","A Furious Cocktail","A Furious Cocktail","狂乱的鸡尾酒","/ə ˈfjʊriəs ˈkɑkˌteɪl/","have all potion effects","拥有所有药水效果","expert","advancement_nether","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15913","a seedy place","A Seedy Place","A Seedy Place","开荒垦地","/ə ˈsidi pleɪs/","plant any seed","种植任意种子","basic","advancement_husbandry","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15840","a terrible fortress","A Terrible Fortress","A Terrible Fortress","阴森的要塞","/ə ˈtɛrəbəl ˈfɔrtrəs/","find nether fortress","找到下界要塞","intermediate","advancement_nether","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15883","a throwaway joke","A Throwaway Joke","A Throwaway Joke","抖包袱","/ə ˈθroʊəˌweɪ dʒoʊk/","throw trident","投掷三叉戟","intermediate","advancement_adventure","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"14660","above","Above","Above","上方","/əˈbʌv/","look above","看上方","basic","direction","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16708","absorption","Absorption","Absorption","伤害吸收","/æbˈsɔːrpʃən/","absorption hearts","伤害吸收生命值","advanced","positive_effect","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15954","acacia","Acacia","Acacia","金合欢","","","","basic","block","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16509","acacia boat","Acacia Boat","Acacia Boat","金合欢木船","/əˈkeɪʃə boʊt/","acacia boat with chest","金合欢木运输船","intermediate","item","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16510","acacia boat with chest","Acacia Boat With Chest","Acacia Boat With Chest","金合欢木运输船","/əˈkeɪʃə boʊt wɪð tʃɛst/","transport items by boat","用船运输物品","intermediate","item","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16022","acacia button","Acacia Button","Acacia Button","金合欢木按钮","/əˈkeɪʃə ˈbʌtn/","acacia button redstone","金合欢木按钮红石","intermediate","block","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16049","acacia door","Acacia Door","Acacia Door","金合欢木门","/əˈkeɪʃə dɔr/","open acacia door","打开金合欢木门","intermediate","block","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16050","acacia fence","Acacia Fence","Acacia Fence","金合欢木栅栏","/əˈkeɪʃə fɛns/","acacia fence gate","金合欢木栅栏门","intermediate","block","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16051","acacia fence gate","Acacia Fence Gate","Acacia Fence Gate","金合欢木栅栏门","/əˈkeɪʃə fɛns geɪt/","acacia fence gate redstone","金合欢木栅栏门红石","intermediate","block","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16052","acacia hanging sign","Acacia Hanging Sign","Acacia Hanging Sign","悬挂式金合欢木告示牌","/əˈkeɪʃə ˈhæŋɪŋ saɪn/","hanging sign text","悬挂告示牌文字","intermediate","block","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16053","acacia leaves","Acacia Leaves","Acacia Leaves","金合欢树叶","/əˈkeɪʃə livz/","acacia leaves decay","金合欢树叶腐烂","intermediate","block","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16054","acacia log","Acacia Log","Acacia Log","金合欢原木","/əˈkeɪʃə lɔg/","stripped acacia log","去皮金合欢原木","intermediate","block","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16055","acacia planks","Acacia Planks","Acacia Planks","金合欢木板","/əˈkeɪʃə plæŋks/","acacia planks crafting","金合欢木板合成","intermediate","block","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16056","acacia pressure plate","Acacia Pressure Plate","Acacia Pressure Plate","金合欢木压力板","/əˈkeɪʃə ˈprɛʃər pleɪt/","pressure plate activation","压力板激活","intermediate","block","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16057","acacia sapling","Acacia Sapling","Acacia Sapling","金合欢树苗","/əˈkeɪʃə ˈsæplɪŋ/","plant acacia sapling","种植金合欢树苗","intermediate","block","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16058","acacia sign","Acacia Sign","Acacia Sign","金合欢木告示牌","/əˈkeɪʃə saɪn/","acacia sign text","金合欢木告示牌文字","intermediate","block","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16059","acacia slab","Acacia Slab","Acacia Slab","金合欢木台阶","/əˈkeɪʃə slæb/","acacia slab building","金合欢木台阶建造","intermediate","block","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16060","acacia stairs","Acacia Stairs","Acacia Stairs","金合欢木楼梯","/əˈkeɪʃə stɛrz/","acacia stairs upside down","倒置的金合欢木楼梯","intermediate","block","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16061","acacia trapdoor","Acacia Trapdoor","Acacia Trapdoor","金合欢木活板门","/əˈkeɪʃə ˈtræpˌdɔr/","acacia trapdoor redstone","金合欢木活板门红石","intermediate","block","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16364","acacia tree","Acacia Tree","Acacia Tree","金合欢树","/əˈkeɪʃə tri/","savanna acacia tree","热带草原金合欢树","intermediate","environment","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16062","acacia wood","Acacia Wood","Acacia Wood","金合欢木","/əˈkeɪʃə wʊd/","acacia wood block","金合欢木方块","intermediate","block","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15823","acquire hardware","Acquire Hardware","Acquire Hardware","来硬的","/əˈkwaɪər ˈhɑrdˌwɛr/","smelt iron ingot","熔炼铁锭","basic","advancement_minecraft","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"17143","actinium","actinium","Actinium","Actinium","","","","","","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16825","activator","Activator","Activator","Activator","","","","","","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16063","activator rail","Activator Rail","Activator Rail","激活铁轨","/ˈæktɪˌveɪtər reɪl/","activator rail minecart","激活铁轨矿车","intermediate","block","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16930","activatorrail","activatorrail","Activatorrail","Activatorrail","","","","","","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16812","active","active","Active","Active","","","","","","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15500","adaptation","adaptation","adaptation","适应","/ˌædæpˈteɪʃən/","Animal adaptation","动物适应","intermediate","biology","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"17494","add","add","add","加","/æd/","Add numbers","数字相加","intermediate","math","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15393","addition","addition","addition","加法","/əˈdɪʃən/","Learn addition","学习加法","basic","math","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15383","adventure","adventure","adventure","冒险","/ədˈvɛntʃər/","Exciting adventure","令人兴奋的冒险","intermediate","advanced","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15895","adventuring time","Adventuring Time","Adventuring Time","探索的时光","/ædˈvɛntʃərɪŋ taɪm/","discover all biomes","发现所有生物群系","master","advancement_adventure","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15640","after","after","after","之后","/ˈæftər/","After lunch","午餐之后","intermediate","common","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"14843","afternoon","afternoon","afternoon","下午","/afternoon/","Good afternoon","下午好","intermediate","general","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
